aoi_id,nome_exibicao,operador,municipio,uf,regiao,bioma_estimado,n_predios,predios_json,ano_construcao_min,ano_operacao_min,ano_construcao_max,ano_operacao_max,periodo_pre,periodo_durante,periodo_pos,status_2026,elegivel,criterio_reprovacao,tier,fonte_lista,fontes_url,lat,lon,precisao_coordenada,observacao
hostdime-joao-pessoa,HostDime Brazil (João Pessoa),HostDime,João Pessoa,PB,Nordeste,Mata Atlântica,1,"[{""nome"": ""HostDime Brazil"", ""ano_construcao"": ""2017"", ""ano_operacao"": ""2017"", ""status"": ""Operacional"", ""fonte"": ""pesquisa_sv24_rodada2+pagina_referencia_notion""}]",2017,2017,2017,2017,2014-2016,2017-2017,2018-2025,Operacional,True,,2,pagina_referencia_notion,https://www.datacenterdynamics.com/br/opini%C3%B5es/hostdime-instala-data-center-tier-iii-em-jo%C3%A3o-pessoa/,,,pendente,"ADICIONADO NA RODADA 2 (SV-24 continuação, 2026-08-31). Facility citada na página de referência do Notion mas fora do escopo original de SV-24 por não constar em nenhuma das duas listas oficiais — ADR-005 já sinalizava como candidato de diversidade regional a reconsiderar ('HostDime João Pessoa, operação 2017'). Pesquisa dirigida não encontrou um ano de INÍCIO DE CONSTRUÇÃO separado do ano de abertura em nenhuma fonte consultada — só 'opera desde 2017' / inauguração em 14/07/2017 (facility de 20.000 sq ft / ~1.858 m², R$ ~15 milhões) (https://www.datacenterdynamics.com/br/opini%C3%B5es/hostdime-instala-data-center-tier-iii-em-jo%C3%A3o-pessoa/). Usado ano_construcao=ano_operacao=2017 (mesma convenção já aplicada a outros prédios do conjunto quando a fonte só registra um ano — ex.: ascenty-paulinia, ascenty-jundiai) — não é invenção de dado, é a mesma regra de simplificação já usada no restante do arquivo, registrada aqui explicitamente. Construção/operação 2017 é ERA LANDSAT (pré-2019). NÃO acrescenta bioma novo (litoral de João Pessoa/PB é Mata Atlântica, já o bioma dominante do conjunto elegível) — por isso entra em TIER 2 (generalização), não tier 1: prioridade (a) do enunciado (diversidade de bioma) já está satisfeita por outras AOIs desta rodada, e prioridade (b) (era Landsat fora de SP) já está coberta por angonap-fortaleza/ascenty-maracanau. Valor real desta AOI é a diversidade de UF/região (Nordeste, PB) dentro do conjunto de generalização fora-da-amostra. Coordenada de fonte primária já citada na página de referência do Notion (via PeeringDB): -7.117382,-34.856902; ATENÇÃO: HostDime anunciou em 2025/2026 uma EXPANSÃO 4x maior com obra iniciando em janeiro/2026 (R$ 250 milhões) — evento futuro fora da janela 2013-2025, não usado aqui, mas relevante registrar para uma rodada futura (https://movimentoeconomico.com.br/tecnologia/2025/05/24/com-r-250-milhoes-multinacional-expande-data-center-na-paraiba/). E2: prédio purpose-built de 1.858 m² (0,19 ha) — pequeno mas maior que colocation urbana típica, mesma ordem de grandeza de prédios individuais já aceitos no conjunto (ex.: Ascenty Hortolândia 2/3, 2.000-3.000 m²). E3 forte (PeeringDB + fonte de imprensa). E4: nenhuma outra AOI elegível em João Pessoa/PB."
hostzone-campina-grande,Hostzone Data Center (CGE1),Hostzone,Campina Grande,PB,Nordeste,Caatinga,1,"[{""nome"": ""Hostzone Data Center (CGE1)"", ""ano_construcao"": null, ""ano_operacao"": null, ""status"": ""Não documentado"", ""fonte"": ""lista_30""}]",,,,,,,,,False,E1,,lista_30,https://cliente.hostzone.com.br/store/data-center,,,pendente,"Sem ano documentado em nenhuma fonte consultada. PESQUISADO NA RODADA 2 (2026-08-31): busca dirigida (site institucional, PeeringDB, DataCenterMap) não encontrou ano de fundação, construção ou inauguração em nenhuma fonte pública — reprovação mantida sem alteração."
odata-hortolandia,ODATA Data Center SP02,ODATA (Aligned Data Centers),Hortolândia,SP,Sudeste,Mata Atlântica,1,"[{""nome"": ""ODATA Data Center SP02"", ""ano_construcao"": null, ""ano_operacao"": null, ""status"": ""Operacional"", ""fonte"": ""config/sites.geojson (ADR-001)""}]",,,,,,,,Operacional,True,,1,existente,,,,confirmada,"AOI já existente (ADR-001), aoi_id fixo — não renomear. NÃO aparece em nenhuma das duas listas do Notion consolidadas nesta tarefa (nem lista de 20 nem lista de 30 citam ODATA) — carregada aqui só para manter as 3 AOIs de produção num único arquivo auditável. Ano de construção/operação não fazem parte do escopo original (ADR-001) e não foram buscados aqui (fora de escopo de SV-24 revisitar dado já fechado). ATENÇÃO — achado relevante para SV-25: o campus 'Ascenty Hortolândia' (nova AOI candidata 'ascenty-hortolandia' deste mesmo arquivo) tem coordenada de referência a ~1,7 km desta AOI (-22.896022,-47.179246 vs -22.8995299,-47.1952611 aqui) — dentro do buffer de 5 km. Se confirmado com coordenada real, isso é uma colisão de AOI (E4/V4 de SV-25) que precisa de decisão humana: fundir as duas ou manter separadas por serem operadores/prédios distintos."
prodeb-salvador,Data Center PRODEB,PRODEB / Governo da Bahia,Salvador,BA,Nordeste,Mata Atlântica,1,"[{""nome"": ""Data Center PRODEB"", ""ano_construcao"": null, ""ano_operacao"": null, ""status"": ""Não documentado"", ""fonte"": ""lista_30""}]",,,,,,,,,False,E1,,lista_30,https://www.ba.gov.br/prodeb/servicos,,,pendente,"Sem ano documentado em nenhuma fonte consultada. PESQUISADO NA RODADA 2 (2026-08-31): confirmado apenas que a PRODEB (empresa pública) foi instituída pela Lei nº 3.157 em 01/10/1973 — data da empresa, não do prédio do data center atual, e de qualquer forma muito anterior à janela 2013-2025. Nenhuma fonte encontrada documenta quando o data room atual foi construído. Reprovação mantida sem alteração."
rt-one-uberlandia,RT-One Uberlândia,RT-One,Uberlândia,MG,Sudeste,Cerrado,1,"[{""nome"": ""RT-One Uberlândia"", ""ano_construcao"": ""2025-2026*"", ""ano_operacao"": null, ""status"": ""Em implantação / licenciamento"", ""fonte"": ""lista_20+lista_30""}]",2025,,2025,,,,,Em implantação / licenciamento,False,E1,,lista_20+lista_30,https://rt-one.com/,,,pendente,"Fusão de nível prédio: aparece nas duas listas (lista_20 #18, lista_30 #13). Status explícito na lista_20: 'Não iniciada' (ano de operação) / 'Em implantação/licenciamento' — projeto ainda não começou a construção. Único candidato de Cerrado com dados nas duas listas; perdido só por não ter iniciado obra ainda, não por falta de coordenada ou pegada."
scala-ai-city,Scala AI City,Scala Data Centers,Eldorado do Sul,RS,Sul,Mata Atlântica,1,"[{""nome"": ""Scala AI City"", ""ano_construcao"": ""2026+*"", ""ano_operacao"": null, ""status"": ""Projeto / implantação"", ""fonte"": ""lista_20+lista_30""}]",2026,,2026,,,,,Projeto / implantação,False,E1,,lista_20+lista_30,https://www.eldorado.rs.gov.br/portal/noticias/0/3/4671/eldorado-do-sul-assina-protocolo-de-intencoes-scala,,,pendente,"Fusão de nível prédio: aparece nas duas listas (lista_20 #20, lista_30 #18). Status explícito: 'Não iniciada'. Projeto futuro de grande escala — bom candidato para uma rodada futura assim que a obra iniciar (dentro da janela 2013-2025 restante, isso teria que ser em 2025 mesmo, o que já não deixaria 'pós' — improvável que entre nesta série mesmo depois de iniciada). CONFIRMADO NA RODADA 2 (2026-08-31), respondendo à pergunta 'já pode estar elegível?' — NÃO: vice-presidente da Scala declarou que a obra deve iniciar em 2027, condicionada a licenciamento ainda em curso; entrada em operação da unidade inicial prevista entre fim de 2028 e início de 2029 (https://www.guaiba.online/noticia/vice-presidente-da-scala-diz-que-ai-city-de-eldorado-do-sul-deve-iniciar-obras-em-2027). Nenhuma obra iniciada até a data da pesquisa; reprovação por E1 mantida com folga."
scala-campinas-svcpcp01,Scala Campinas SVCPCP01,Scala Data Centers,Campinas,SP,Sudeste,Mata Atlântica,1,"[{""nome"": ""Scala SVCPCP01"", ""ano_construcao"": null, ""ano_operacao"": null, ""status"": ""Não documentado"", ""fonte"": ""lista_30""}]",,,,,,,,,False,E1,,lista_30,https://scaladatacenters.com/data-centers/,,,pendente,"Sem ano documentado em nenhuma fonte (a própria página de referência do Notion marca construção E operação como 'N/D' explicitamente para este prédio). Coordenada de alta confiança JÁ disponível (-22.820539,-47.100058, PeeringDB) e footprint grande (12.015 m², citado na lista_30) — E2 e E3 passariam com folga; só falta uma data. Candidata forte para reconsideração se o time encontrar o ano de construção fora do escopo desta tarefa."
scala-fortaleza,Scala Fortaleza Campus,Scala Data Centers,Fortaleza,CE,Nordeste,Caatinga,1,"[{""nome"": ""Scala Fortaleza Campus (SFORPF01)"", ""ano_construcao"": ""2024"", ""ano_operacao"": null, ""status"": ""Em construção"", ""fonte"": ""pesquisa_sv24_rodada2""}]",2024,,2024,,,,,Em construção,False,E1,,lista_30,https://itforum.com.br/noticias/scala-data-centers-obra-1-bi-fortaleza/,,,pendente,"PESQUISADO NA RODADA 2 (2026-08-31): pedra fundamental lançada em 25/06/2024 (obra 'SFORPF01', R$ 1 bilhão, 24.000 m², 2 prédios + subestação) (https://itforum.com.br/noticias/scala-data-centers-obra-1-bi-fortaleza/ ; https://www.fortaleza.ce.gov.br/noticias/pedra-fundamental-do-1-data-center-da-scala-em-fortaleza-e-lancada-com-a-presenca-do-prefeito-jose-sarto). Construção 2024 CAI DENTRO da janela E1 (2013-2024) — mas a operação inicial estava prevista para o começo de 2025 e a conclusão plena do campus só em 2028; usando o o operação=2025 (mais otimista encontrado), periodo_pos = [2026,2025] fica VAZIO dentro da série do repo (2013-2025) — o mesmo padrão exato que já reprova equinix-rj3 neste arquivo. Reprovado por E1 por essa razão (não por falta de coordenada ou pegada — teria E2/E3 fortes). Candidato a reconsiderar em uma rodada futura se a operação real de 2025 for confirmada e o repositório aceitar um período pós de 1 ano só, ou se a série for estendida além de 2025."
scala-sgigsm01,Scala SGIGSM01,Scala Data Centers,São João de Meriti,RJ,Sudeste,Mata Atlântica,1,"[{""nome"": ""Scala SGIGSM01"", ""ano_construcao"": ""2022-2023*"", ""ano_operacao"": ""2023*"", ""status"": ""Operacional"", ""fonte"": ""lista_20""}]",2022,2023,2022,2023,2019-2021,2022-2023,2024-2025,Operacional,True,,1,lista_20,https://www.peeringdb.com/fac/13398,,,pendente,"Prédio único, só na lista_20. Única AOI elegível fora de SP nesta rodada. Coordenada de alta confiança disponível: PeeringDB (citado na própria lista_20) dá -22.7999/-43.3538; a página de referência do Notion cross-confirma com -22.799883/-43.353842 — concordância à 4ª casa decimal, forte candidata a coordenada 'exata' em SV-25 (fonte A da cascata de SV-25)."
scala-spoapa01,Scala SPOAPA01,Scala Data Centers,Porto Alegre,RS,Sul,Mata Atlântica,1,"[{""nome"": ""Scala SPOAPA01"", ""ano_construcao"": ""2023"", ""ano_operacao"": ""2023"", ""status"": ""Operacional"", ""fonte"": ""lista_20""}]",2023,2023,2023,2023,2020-2022,2023-2023,2024-2025,Operacional,True,,1,lista_20,https://www.peeringdb.com/fac/14336,,,pendente,"Prédio único, só na lista_20. Única AOI elegível na Região Sul nesta rodada. Coordenada de alta confiança: PeeringDB (citado na lista_20) dá -30.0028/-51.1981; página de referência do Notion cross-confirma com -30.002768/-51.198149. bioma_estimado='Mata Atlântica' por estimativa de domínio biogeográfico (Porto Alegre fica perto da fronteira IBGE Mata Atlântica/Pampa) — NÃO CONFIRMADO por fonte oficial nesta tarefa (fora de escopo buscar); se for Pampa, esta AOI passa a cobrir um 2º bioma distinto, o que mudaria a conclusão sobre diversidade de bioma do tier 1. Recomenda-se checar o mapa de biomas do IBGE por sobreposição espacial assim que a coordenada real existir (SV-25)."
scala-tambore,Scala Data Centers - SGRUTB12,Scala Data Centers,Barueri,SP,Sudeste,Mata Atlântica,6,"[{""nome"": ""Scala SGRUTB12 (site já ativo)"", ""ano_construcao"": null, ""ano_operacao"": null, ""status"": ""Operacional"", ""fonte"": ""config/sites.geojson (ADR-001)""}, {""nome"": ""Scala Campus Tamboré (descrição agregada da lista_20)"", ""ano_construcao"": ""2022-2024*"", ""ano_operacao"": ""2023+*"", ""status"": ""Operacional / expansão"", ""fonte"": ""lista_20""}, {""nome"": ""Scala SGRUTB01"", ""ano_construcao"": null, ""ano_operacao"": null, ""status"": ""Operacional (presumido)"", ""fonte"": ""pagina_referencia_notion""}, {""nome"": ""Scala SGRUTB03"", ""ano_construcao"": null, ""ano_operacao"": null, ""status"": ""Operacional (presumido)"", ""fonte"": ""pagina_referencia_notion""}, {""nome"": ""Scala SGRUTB04"", ""ano_construcao"": ""2021-22"", ""ano_operacao"": ""2022"", ""status"": ""Operacional"", ""fonte"": ""pagina_referencia_notion""}, {""nome"": ""Scala SGRUTB05"", ""ano_construcao"": null, ""ano_operacao"": ""2023"", ""status"": ""Operacional"", ""fonte"": ""pagina_referencia_notion""}]",2021,2022,2022,2023,2018-2020,2021-2023,2024-2025,Operacional / expansão,True,,1,lista_20,https://www.gbcbrasil.org.br/certificacao/certificacao-leed/empreendimentos/,,,confirmada,"AOI já existente (ADR-001), aoi_id fixo — não renomear. Coordenada real já em config/sites.geojson (-23.4948321,-46.8130769). A lista_20 trata 'Scala Campus Tamboré' como um único item (#14) mas a página de referência do Notion ('Dados - informações de data centers') documenta pelo menos 5 prédios distintos na Av. Ceci (SGRUTB01/03/04/05, coordenadas via PeeringDB) além do SGRUTB12 já ativo — preservados aqui em predios_json como enriquecimento de coordenada/ano de alta confiança (não são um terceiro item de lista, só contexto citado na página de referência). SGRUTB01/03 não têm ano documentado em nenhuma fonte consultada (N/D explícito na tabela da página de referência)."
surfix-recife,Surfix Data Center,Surfix Cloud & Data Center,Recife,PE,Nordeste,Mata Atlântica,1,"[{""nome"": ""Surfix Data Center"", ""ano_construcao"": null, ""ano_operacao"": null, ""status"": ""Não documentado"", ""fonte"": ""lista_30""}]",,,,,,,,,False,E2,,lista_30,https://surfix.com.br/data-center/,,,pendente,"Colocation em edifício urbano existente em Boa Viagem, Recife (endereço citado na própria relevância da lista_30) — exatamente o exemplo negativo citado no enunciado de SV-24 ('um data center que ocupa dois andares de um edifício em Boa Viagem'). Não é construção nova em terreno aberto; não muda pegada visível em imagem de satélite. Reprovado por E2."
tecto-porto-alegre,Tecto TPOA1,Tecto Data Centers,Porto Alegre,RS,Sul,Mata Atlântica,1,"[{""nome"": ""Tecto TPOA1"", ""ano_construcao"": null, ""ano_operacao"": null, ""status"": ""Projeto anunciado"", ""fonte"": ""lista_30""}]",,,,,,,,,False,E1,,lista_30,https://tecto.com/en/news-and-insights/tecto-announces-r200-million-investment-in-a-new-data-center-in-porto-alegre-connected-to-v-tals-submarine-cable/,,,pendente,"Projeto anunciado em 2026 (obra ainda não iniciada segundo a relevância da lista_30) — sem construção iniciada, E1 reprova. PESQUISADO NA RODADA 2 (2026-08-31): confirmado que o projeto é o RETROFIT de um armazém/galpão já existente no bairro Sarandi (não construção nova em terreno aberto), com 1ª fase (3 MW) prevista para entrar em operação só no 4º trimestre de 2026 — fora da janela 2013-2025 mesmo se a obra começasse imediatamente. Dupla reprovação potencial: E1 (nenhuma obra iniciada ainda) e E2 (retrofit de galpão existente, não greenfield) (https://tecto.com/en/news-and-insights/tecto-announces-r200-million-investment-in-a-new-data-center-in-porto-alegre-connected-to-v-tals-submarine-cable/)."
tip-brasil-campinas,TIP Brasil Campinas,TIP Brasil,Campinas,SP,Sudeste,Mata Atlântica,1,"[{""nome"": ""TIP Brasil Campinas"", ""ano_construcao"": null, ""ano_operacao"": null, ""status"": ""Não documentado"", ""fonte"": ""lista_30""}]",,,,,,,,,False,E1,,lista_30,https://setup.zeus.tipbrasil.com.br/portal-tip/artigo/tip-brasil-investe-r-500-milhoes-em-datacenter-tier-3-em-campinas,,,pendente,"Sem ano documentado. Adicionalmente, a relevância da lista_30 descreve 'aquisição, modernização e expansão' de um data center já existente — sinal de que pode não ser construção nova em terreno aberto (possível risco de E2 também), mas E1 já é suficiente para reprovar sem precisar resolver essa ambiguidade."
unifique-timbo,Unifique Timbó DC1,Unifique,Timbó,SC,Sul,Mata Atlântica,1,"[{""nome"": ""Unifique Timbó DC1"", ""ano_construcao"": null, ""ano_operacao"": null, ""status"": ""Não documentado"", ""fonte"": ""lista_30""}]",,,,,,,,,False,E1,,lista_30,https://unifique.com.br/datacenter,,,pendente,Sem ano documentado em nenhuma fonte consultada.
